doc_id,sid,tid,token,token_with_ws,lemma,upos,xpos,tid_source,relation
1,1,1,CHAPTER,CHAPTER ,CHAPTER,PROPN,NNP,4,nmod
1,1,2,ONE,ONE ,one,NUM,CD,1,nummod
1,1,3,PLAYING,PLAYING ,playing,NOUN,NN,4,compound
1,1,4,PILGRIMS,PILGRIMS ,PILGRIMS,PROPN,NNP,10,npadvmod
1,1,5,  ,  ,  ,SPACE,_SP,4,dep
1,1,6,“,“,"""",PUNCT,``,10,punct
1,1,7,Christmas,Christmas ,Christmas,PROPN,NNP,10,nsubj
1,1,8,wo,wo,will,AUX,MD,10,aux
1,1,9,n’t,n’t ,not,PART,RB,10,neg
1,1,10,be,be ,be,AUX,VB,17,ccomp
1,1,11,Christmas,Christmas ,Christmas,PROPN,NNP,10,attr
1,1,12,without,without ,without,ADP,IN,10,prep
1,1,13,any,any ,any,DET,DT,14,det
1,1,14,presents,presents,present,NOUN,NNS,12,pobj
1,1,15,",",",",",",PUNCT,",",17,punct
1,1,16,”,” ,"""",PUNCT,'',17,punct
1,1,17,grumbled,grumbled ,grumble,VERB,VBD,0,root
1,1,18,Jo,Jo,Jo,PROPN,NNP,17,dobj
1,1,19,",",", ",",",PUNCT,",",17,punct
1,1,20,lying,lying ,lie,VERB,VBG,17,advcl
1,1,21,on,on ,on,ADP,IN,20,prep
1,1,22,the,the ,the,DET,DT,23,det
1,1,23,rug,rug,rug,NOUN,NN,21,pobj
1,1,24,.,. ,.,PUNCT,.,17,punct
1,1,25, , , ,SPACE,_SP,24,dep
1,2,1,“,“,"""",PUNCT,``,3,punct
1,2,2,It,It,it,PRON,PRP,3,nsubj
1,2,3,’s,’s ,’,VERB,VBZ,0,root
1,2,4,so,so ,so,ADV,RB,5,advmod
1,2,5,dreadful,dreadful ,dreadful,ADJ,JJ,3,acomp
1,2,6,to,to ,to,PART,TO,7,aux
1,2,7,be,be ,be,AUX,VB,5,xcomp
1,2,8,poor,poor,poor,ADJ,JJ,7,acomp
1,2,9,!,!,!,PUNCT,.,3,punct
1,2,10,”,” ,"""",PUNCT,'',3,punct
