index,season,episode,episode_name,director,writer,character,text,text_w_direction,imdb_rating,total_votes,air_date
1,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,All right Jim. Your quarterlies look very good. How are things at the library?,All right Jim. Your quarterlies look very good. How are things at the library?,7.6,3706,2005-03-24
2,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,"Oh, I told you. I couldn't close it. So...","Oh, I told you. I couldn't close it. So...",7.6,3706,2005-03-24
3,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"So you've come to the master for guidance? Is this what you're saying, grasshopper?","So you've come to the master for guidance? Is this what you're saying, grasshopper?",7.6,3706,2005-03-24
4,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,"Actually, you called me in here, but yeah.","Actually, you called me in here, but yeah.",7.6,3706,2005-03-24
5,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"All right. Well, let me show you how it's done.","All right. Well, let me show you how it's done.",7.6,3706,2005-03-24
6,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake. That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so... So that's the way it's done.","[on the phone] Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. [quick cut scene] All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake. [hangs up] That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so... [Clears throat] So that's the way it's done.",7.6,3706,2005-03-24
7,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for... forever. Right, Pam?","I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for... forever. Right, Pam?",7.6,3706,2005-03-24
8,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,Well. I don't know.,Well. I don't know.,7.6,3706,2005-03-24
9,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"If you think she's cute now, you should have seen her a couple of years ago.","If you think she's cute now, you should have seen her a couple of years ago. [growls]",7.6,3706,2005-03-24
10,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,What?,What?,7.6,3706,2005-03-24
11,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,Any messages?,Any messages?,7.6,3706,2005-03-24
12,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,"Uh, yeah. Just a fax.","Uh, yeah. Just a fax.",7.6,3706,2005-03-24
13,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.","Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",7.6,3706,2005-03-24
14,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,You haven't told me.,You haven't told me.,7.6,3706,2005-03-24
15,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,It's called the wastepaper basket! Look at that! Look at that face.,It's called the wastepaper basket! Look at that! Look at that face.,7.6,3706,2005-03-24
16,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"People say I am the best boss. They go, ""God we've never worked in a place like this before. You're hilarious."" ""And you get the best out of us."" I think that pretty much sums it up. I found it at Spencer Gifts.","People say I am the best boss. They go, ""God we've never worked in a place like this before. You're hilarious."" ""And you get the best out of us."" [shows the camera his WORLD'S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.",7.6,3706,2005-03-24
17,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Dwight,Shall I play for you? Pa rum pump um pum I have no gifts for you. Pa rum pump um pum,[singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming],7.6,3706,2005-03-24
18,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.","My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",7.6,3706,2005-03-24
19,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,Whassup!,Whassup!,7.6,3706,2005-03-24
20,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,Whassup! I still love that after seven years.,Whassup! I still love that after seven years.,7.6,3706,2005-03-24
21,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,Whassup!,Whassup!,7.6,3706,2005-03-24
22,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Dwight,Whassup!,Whassup!,7.6,3706,2005-03-24
23,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,Whass...up!,Whass...up!,7.6,3706,2005-03-24
24,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Dwight,Whassup.,Whassup.,7.6,3706,2005-03-24
25,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,What?,"[Strains, grunts] What?",7.6,3706,2005-03-24
26,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,Nothing.,Nothing.,7.6,3706,2005-03-24
27,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,OK. All right. See you later.,OK. All right. See you later.,7.6,3706,2005-03-24
28,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,All right. Take care.,All right. Take care.,7.6,3706,2005-03-24
29,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,Back to work.,Back to work.,7.6,3706,2005-03-24
30,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,Just before lunch. That would be great.,[on her cell phone] Just before lunch. That would be great.,7.6,3706,2005-03-24
31,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. Jan, hello. I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.","Corporate really doesn't really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello. I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",7.6,3706,2005-03-24
32,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,"Alright, was there anything you wanted to add to the agenda?","Alright, was there anything you wanted to add to the agenda?",7.6,3706,2005-03-24
33,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,Um... Me no get an agenda.,Um... Me no get an agenda.,7.6,3706,2005-03-24
34,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,What? I'm sorry?,What? I'm sorry?,7.6,3706,2005-03-24
35,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,I didn't get any agenda.,I didn't get any agenda.,7.6,3706,2005-03-24
36,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,"Well, I faxed one over to you this morning.","Well, I faxed one over to you this morning.",7.6,3706,2005-03-24
37,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,Really? I didn't... Did we get a fax this morning?,Really? I didn't... [looks at Pam] Did we get a fax this morning?,7.6,3706,2005-03-24
38,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,"Uh, yeah, the one...","Uh, yeah, the one...",7.6,3706,2005-03-24
39,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?","Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",7.6,3706,2005-03-24
40,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,You put in the garbage can that was a special filing cabinet.,You put in the garbage can that was a special filing cabinet.,7.6,3706,2005-03-24
41,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.","Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",7.6,3706,2005-03-24
42,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,Do you want to look at mine?,Do you want to look at mine?,7.6,3706,2005-03-24
43,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Yeah, yeah. Lovely. Thank you.","Yeah, yeah. Lovely. Thank you.",7.6,3706,2005-03-24
44,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,"OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.","OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",7.6,3706,2005-03-24
45,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,OK...,OK...,7.6,3706,2005-03-24
46,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,"Michael, don't panic.","Michael, don't panic.",7.6,3706,2005-03-24
47,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"No, no, no, no, this is good. This is good. This is fine. Excellent.","No, no, no, no, this is good. This is good. This is fine. Excellent.",7.6,3706,2005-03-24
48,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,"No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.","No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.",7.6,3706,2005-03-24
49,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,All the alarm bells are kind of going... ringie-dingie-ding!,All the alarm bells are kind of going... ringie-dingie-ding!,7.6,3706,2005-03-24
50,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,7.6,3706,2005-03-24
51,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,OK. No problem.,OK. No problem.,7.6,3706,2005-03-24
52,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,"This does, however, mean that there is going to be downsizing.","This does, however, mean that there is going to be downsizing.",7.6,3706,2005-03-24
53,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?","Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",7.6,3706,2005-03-24
54,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Question. How long do we have to... Oh uh, Todd Packer, terrific rep. Do you mind if I take it?","Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",7.6,3706,2005-03-24
55,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,Go ahead.,Go ahead.,7.6,3706,2005-03-24
56,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michel,Packman.,Packman.,7.6,3706,2005-03-24
57,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Todd Packer,"Hey, you big queen.","Hey, you big queen.",7.6,3706,2005-03-24
58,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Oh, that's not appropriate.","Oh, that's not appropriate.",7.6,3706,2005-03-24
59,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Todd Packer,"Hey, is old Godzillary coming in today?","Hey, is old Godzillary coming in today?",7.6,3706,2005-03-24
60,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Uh, I don't know what you mean.","Uh, I don't know what you mean.",7.6,3706,2005-03-24
61,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Todd Packer,I've been meaning to ask her one question. Does the carpet match the drapes?,I've been meaning to ask her one question. Does the carpet match the drapes?,7.6,3706,2005-03-24
62,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.","Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",7.6,3706,2005-03-24
63,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jan,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,7.6,3706,2005-03-24
64,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Michael,"No, absolutely. Under this regime, it will not leave this office. Like that.","No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.",7.6,3706,2005-03-24
65,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Phyllis,So what does downsizing actually mean?,So what does downsizing actually mean?,7.6,3706,2005-03-24
66,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Stanley,Well...,Well...,7.6,3706,2005-03-24
67,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Oscar,You guys better update your resumes just like I'm doing.,You guys better update your resumes just like I'm doing.,7.6,3706,2005-03-24
68,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Angela,I bet it's gonna be me. Probably gonna be me.,I bet it's gonna be me. Probably gonna be me.,7.6,3706,2005-03-24
69,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Kevin,"Yeah, it'll be you.","Yeah, it'll be you.",7.6,3706,2005-03-24
70,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,I have an important question for you.,I have an important question for you.,7.6,3706,2005-03-24
71,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,Yes?,Yes?,7.6,3706,2005-03-24
72,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Pam,Are you going to Angela's cat party on Sunday?,Are you going to Angela's cat party on Sunday?,7.6,3706,2005-03-24
73,1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,Jim,"Yeah, stop. That is ridiculous.","Yeah, stop. That is ridiculous.",7.6,3706,2005-03-24
